iter	RMSE
<<<<<<< Updated upstream
0	497.8962433
1	458.6887422
2	424.279137
3	396.2959198
4	369.7801473
5	346.8169263
6	327.0346979
7	310.085475
8	294.6569271
9	281.9836871
10	268.4175184
11	257.9583893
12	250.1087522
13	243.564469
14	236.4680333
15	230.9458287
16	225.6806627
17	222.0625671
18	218.0197032
19	214.7227149
20	212.394938
21	209.9126853
22	207.99558
23	206.6707996
24	205.1934695
25	204.0208875
26	203.3397567
27	202.5062673
28	202.0000297
29	201.3426591
30	200.8839762
31	200.6057218
32	200.3213075
33	199.9616791
34	199.7828119
35	199.5997179
36	199.5044109
37	199.3500916
38	199.2285941
39	199.1129516
40	198.9751563
41	198.9106493
42	198.8353147
43	198.7792299
44	198.6977906
45	198.6317498
46	198.580042
47	198.5356941
48	198.4983969
49	198.4778201
50	198.441959
51	198.4180595
52	198.3920279
53	198.377951
54	198.3556922
55	198.3321906
56	198.3071979
57	198.2941355
58	198.2847251
59	198.2661723
60	198.2526138
61	198.2391234
62	198.2213008
63	198.2078603
64	198.1982421
65	198.1847913
66	198.1764697
67	198.168428
68	198.1582458
69	198.1518119
70	198.1360278
71	198.1183643
72	198.105172
73	198.0957004
74	198.0820103
75	198.0650457
76	198.0524646
77	198.0421262
78	198.0280653
79	198.0239105
80	198.0099071
81	197.998675
82	197.9878429
83	197.9710484
84	197.9650315
85	197.9512998
86	197.9384172
87	197.9197699
88	197.9111527
89	197.899657
90	197.8866669
91	197.8728972
92	197.8616588
93	197.8473092
94	197.8310021
95	197.8160065
96	197.8018578
97	197.7942549
98	197.7896988
99	197.7782906
100	197.765382
101	197.7516147
102	197.7436134
103	197.7325758
104	197.7209735
105	197.7124851
106	197.7000954
107	197.6853426
108	197.6789125
109	197.6719318
110	197.6620614
111	197.6449307
112	197.6366017
113	197.6159021
114	197.601869
115	197.5930383
116	197.5845832
117	197.5695247
118	197.5603145
119	197.5486452
120	197.5361203
121	197.5239517
122	197.5053963
123	197.4842127
124	197.4756833
125	197.4634591
126	197.4522525
127	197.4431159
128	197.4303593
129	197.4194697
130	197.4051178
131	197.3921641
132	197.3833958
133	197.3732414
134	197.3501581
135	197.3386694
136	197.3275762
137	197.3176302
138	197.3049135
139	197.2877385
140	197.2776242
141	197.2622465
142	197.2515881
143	197.2342191
144	197.2204362
145	197.2121285
146	197.2047875
147	197.1964496
148	197.1840072
149	197.1744957
150	197.1624866
151	197.1508779
152	197.1385727
153	197.1250118
154	197.1048349
155	197.0936414
156	197.0837147
157	197.072531
158	197.0586125
159	197.0457713
160	197.0230784
161	197.0165562
162	197.0114704
163	197.0053774
164	196.9891317
165	196.9799027
166	196.9689147
167	196.9558556
168	196.9412853
169	196.9300992
170	196.9229934
171	196.9167685
172	196.9053733
173	196.8918194
174	196.8844745
175	196.8761672
176	196.8663682
177	196.8516573
178	196.8379228
179	196.8304802
180	196.8178736
181	196.8082527
182	196.7958075
183	196.7861921
184	196.7781364
185	196.7654812
186	196.7566102
187	196.7437814
188	196.7325881
189	196.7264931
190	196.7137841
191	196.7058609
192	196.69832
193	196.6929381
194	196.6715403
195	196.6641465
196	196.6547964
197	196.6415291
198	196.6345501
199	196.6281848
200	196.6200647
201	196.6071519
202	196.6006057
203	196.588064
204	196.5825476
205	196.572964
206	196.5640732
207	196.5538091
208	196.5435494
209	196.5346069
210	196.5241376
211	196.5112411
212	196.4882379
213	196.4786791
214	196.46924
215	196.4597351
216	196.4467989
217	196.436174
218	196.4287388
219	196.4215292
220	196.4111265
221	196.4003911
222	196.3872045
223	196.3784171
224	196.3705707
225	196.3622781
226	196.3528225
227	196.3415594
228	196.3345661
229	196.3249157
230	196.3179817
231	196.3055106
232	196.2925101
233	196.2777204
234	196.2698286
235	196.2650546
236	196.2565107
237	196.2483027
238	196.2392284
239	196.2251288
240	196.2186586
241	196.211526
242	196.2018731
243	196.1924492
244	196.1842562
245	196.1738666
246	196.1593011
247	196.1509224
248	196.1425762
249	196.1316526
250	196.1236867
251	196.1185067
252	196.1088367
253	196.1034835
254	196.0923665
255	196.0868244
256	196.0799375
257	196.0687844
258	196.0624589
259	196.0566891
260	196.0453335
261	196.039128
262	196.0297604
263	196.0199897
264	196.012446
265	196.0053996
266	195.9944026
267	195.9871007
268	195.9790856
269	195.9735357
270	195.9674907
271	195.9600008
272	195.9534015
273	195.946702
274	195.9354429
275	195.926112
276	195.9213076
277	195.91381
278	195.9043465
279	195.8951241
280	195.8869644
281	195.8802004
282	195.8701318
283	195.8631343
284	195.8533956
285	195.8461327
286	195.840029
287	195.8299898
288	195.8233451
289	195.8152058
290	195.8102036
291	195.8050837
292	195.798597
293	195.7940955
294	195.7873679
295	195.7784204
296	195.7698104
297	195.7623075
298	195.7570392
299	195.7457323
=======
0	497.9911636
1	458.7525863
2	424.3154936
3	396.3642996
4	369.8187612
5	346.8292435
6	327.0239096
7	310.0545207
8	293.8089304
9	281.0877131
10	271.3151548
11	262.1013024
12	251.4447252
13	244.9246894
14	237.2964761
15	230.9317012
16	225.4208524
17	220.9543463
18	217.1215592
19	214.0123129
20	211.4597993
21	209.021189
22	207.4846511
23	205.7509592
24	204.4350023
25	203.2631014
26	202.4168867
27	201.6051127
28	201.1011437
29	200.5680363
30	200.2159452
31	199.8574128
32	199.5407908
33	199.2713869
34	199.035849
35	198.8735517
36	198.6753729
37	198.5143334
38	198.4308764
39	198.3530538
40	198.2792097
41	198.2385145
42	198.1775088
43	198.1090027
44	198.0714558
45	198.0353601
46	198.0007622
47	197.9667795
48	197.9452834
49	197.9190289
50	197.8876953
51	197.8662635
52	197.8507768
