차량 구분,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,기후대,차량 구분 분류,총수출량,차종,GDP
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,EV5,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,EV6,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,EV9,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Forte,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,K3,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,K3 (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,K4,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,K5 / Optima,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,"K7, K8 / Cadenza",29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,"K7,8 / Cadenza",29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,K9,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,KX1,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,KX3,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,KX3 / Seltos,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,KX5 / Sportage,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,KX7,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Millitary,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Millitary (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Mohave / Borrego,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Morning / Picanto,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,New Carens,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Niro,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Niro EV,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Niro Plus,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Niro Plus EV,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Optima / K5,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,PV5,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Pegas,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Pride / Rio,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Pride / Rio (FB),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Pride / Rio (SC),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Ray,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Ray EV,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Seltos,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Seltos (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Sonet,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Sorento,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Sorento (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Soul,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Soul (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Soul EV,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Sportage,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Sportage(KX5),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Stinger,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Stonic,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Syros,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Tasman,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Tasman (CKD),29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Telluride,29.17
상업용 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,일반 차량,0.0,Zhipao,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo / Frontier,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bus,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bus (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carens MPV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carens MPV EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival / Sedona,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Cee'd,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Cee'd CUV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV2,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV3,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV4,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV5,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV6,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV9,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Forte,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K3,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K3 (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K4,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K5 / Optima,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,"K7, K8 / Cadenza",29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,"K7,8 / Cadenza",29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K9,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX1,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX3,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX3 / Seltos,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX5 / Sportage,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX7,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Millitary,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Millitary (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Mohave / Borrego,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Morning / Picanto,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,New Carens,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro Plus,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro Plus EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Optima / K5,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,PV5,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pegas,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pride / Rio,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pride / Rio (FB),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pride / Rio (SC),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Ray,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Ray EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Seltos,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Seltos (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Sonet,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Sorento,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Sorento (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Soul,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Soul (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Soul EV,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Sportage,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Sportage(KX5),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Stinger,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Stonic,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Syros,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Tasman,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Tasman (CKD),29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Telluride,29.17
특수 차량,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Zhipao,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo (CKD),29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo / Frontier,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bongo EV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bus,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Bus (CKD),29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carens MPV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carens MPV EV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival (CKD),29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Carnival / Sedona,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Cee'd,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Cee'd CUV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV2,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV3,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV4,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV5,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV6,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,EV9,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Forte,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K3,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K3 (CKD),29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K4,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K5 / Optima,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,"K7, K8 / Cadenza",29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,"K7,8 / Cadenza",29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,K9,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX1,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX3,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX3 / Seltos,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX5 / Sportage,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,KX7,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Millitary,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Millitary (CKD),29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Mohave / Borrego,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Morning / Picanto,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,New Carens,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro EV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro Plus,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Niro Plus EV,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Optima / K5,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,PV5,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pegas,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pride / Rio,29.17
CKD(모듈형 조립 방식),US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,온대,특수 차량,0.0,Pride / Rio (FB),29.17
